query	evalue	COG_category	Description	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	PFAMs
CAJ67927.1	1.66E-56	G	"PTS system, Lactose/Cellobiose specific IIB subunit"	ko:K02774	"ko00052,ko01100,ko02060,map00052,map01100,map02060"	M00279	R05570	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.5.1	PTS_IIB
CAJ67928.1	0	V	ABC transporter	ko:K06147	-	-	-	-	"ko00000,ko02000"	"3.A.1.106,3.A.1.109,3.A.1.21"	"ABC_membrane,ABC_tran"
CAJ67929.1	4.72E-265	E	glutamate:sodium symporter activity	-	-	-	-	-	-	-	-
CAJ67930.2	6.61E-277	E	"Psort location Cytoplasmic, score"	ko:K01436	-	-	-	-	"ko00000,ko01000,ko01002"	-	"M20_dimer,Peptidase_M20"
CAJ67931.1	4.50E-169	P	transporter	ko:K07238	-	-	-	-	"ko00000,ko02000"	2.A.5.5	Zip
CAJ67932.1	6.30E-129	S	Protein of unknown function (DUF2812)	-	-	-	-	-	-	-	DUF2812
CAJ67933.1	7.14E-167	KT	LytTr DNA-binding domain	-	-	-	-	-	-	-	"LytTR,Response_reg"
CAJ67935.1	3.92E-290	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	"Integrase_DNA,Phage_int_SAM_5,Phage_integrase"
CAJ67936.1	1.15E-43	S	Excisionase from transposon Tn916	-	-	-	-	-	-	-	Tn916-Xis
CAJ67937.1	7.29E-55	S	COG NOG21981 non supervised orthologous group	-	-	-	-	-	-	-	HTH_16
CAJ67938.1	2.10E-103	K	"Sigma-70, region 4"	-	-	-	-	-	-	-	Sigma70_r4_2
CAJ67939.2	1.18E-175	S	"Psort location CytoplasmicMembrane, score"	ko:K01992	-	M00254	-	-	"ko00000,ko00002,ko02000"	3.A.1	ABC2_membrane_4
CAJ67940.1	2.03E-182	CP	"Psort location CytoplasmicMembrane, score"	"ko:K01992,ko:K19310"	"ko02010,map02010"	"M00254,M00747"	-	-	"ko00000,ko00001,ko00002,ko02000"	"3.A.1,3.A.1.131.1"	ABC2_membrane_4
CAJ67941.1	1.13E-219	V	ABC transporter	"ko:K01990,ko:K19309"	"ko02010,map02010"	"M00254,M00747"	-	-	"ko00000,ko00001,ko00002,ko02000"	"3.A.1,3.A.1.131.1"	ABC_tran
CAJ67942.1	2.75E-214	T	His Kinase A (phosphoacceptor) domain	-	-	-	-	-	-	-	"HATPase_c,HisKA"
CAJ67943.1	2.31E-164	K	"Transcriptional regulatory protein, C terminal"	-	-	-	-	-	-	-	"Response_reg,Trans_reg_C"
CAJ67944.1	1.13E-48	S	Filamentation induced by cAMP protein fic	-	-	-	-	-	-	-	-
CAJ67945.1	4.00E-76	K	"Psort location Cytoplasmic, score"	-	-	-	-	-	-	-	HTH_3
CAJ67946.1	3.28E-69	S	Bacterial mobilisation protein (MobC)	-	-	-	-	-	-	-	MobC
CAJ67947.1	0	U	Relaxase/Mobilisation nuclease domain	-	-	-	-	-	-	-	Relaxase
CAJ67948.1	4.17E-50	S	"Psort location Cytoplasmic, score"	-	-	-	-	-	-	-	HTH_16
CAJ67950.1	1.29E-105	S	SnoaL-like domain	-	-	-	-	-	-	-	SnoaL_2
CAJ67951.1	2.66E-85	S	Cysteine-rich VLP	-	-	-	-	-	-	-	Cys_rich_VLP
CAJ67952.1	2.82E-40	S	Putative tranposon-transfer assisting protein	-	-	-	-	-	-	-	TTRAP
CAJ67953.1	0	L	YodL-like	-	-	-	-	-	-	-	"ArdA,DUF4316,Peptidase_M78,YodL"
CAJ67954.1	0	L	Bacterial DNA topoisomerase I DNA-binding domain	ko:K03169	-	-	-	-	"ko00000,ko01000,ko03032"	-	"Topoisom_bac,Toprim,Toprim_Crpt"
CAJ67955.1	1.11E-41	-	-	-	-	-	-	-	-	-	-
CAJ67956.1	9.64E-164	S	COG NOG36404 non supervised orthologous group	-	-	-	-	-	-	-	DUF4366
CAJ67957.1	7.93E-50	S	Domain of unknown function (DUF4315)	-	-	-	-	-	-	-	DUF4315
CAJ67958.1	0	M	CHAP domain	-	-	-	-	-	-	-	CHAP
CAJ67959.1	5.32E-244	L	DNA methylase	ko:K00590	-	-	-	-	"ko00000,ko01000,ko02048"	-	N6_N4_Mtase
CAJ67960.1	0	U	AAA-like domain	-	-	-	-	-	-	-	AAA_10
CAJ67961.1	9.96E-85	S	PrgI family protein	-	-	-	-	-	-	-	PrgI
CAJ67962.1	8.06E-199	S	"Psort location CytoplasmicMembrane, score"	-	-	-	-	-	-	-	-
CAJ67963.1	1.25E-42	S	"Psort location CytoplasmicMembrane, score"	-	-	-	-	-	-	-	Maff2
CAJ67965.1	0	U	TraM recognition site of TraD and TraG	ko:K03205	"ko03070,map03070"	M00333	-	-	"ko00000,ko00001,ko00002,ko02044"	3.A.7	T4SS-DNA_transf
CAJ67966.1	1.74E-101	S	Protein of unknown function (DUF3801)	-	-	-	-	-	-	-	DUF3801
CAJ67967.1	6.56E-52	S	Domain of unknown function (DUF5348)	-	-	-	-	-	-	-	DUF5348
CAJ67968.1	8.06E-212	L	"Psort location Cytoplasmic, score"	-	-	-	-	-	-	-	RepA_N
CAJ67969.1	1.17E-152	-	-	-	-	-	-	-	-	-	-
CAJ67970.1	0	C	Pyruvate formate lyase-like	"ko:K00656,ko:K20038"	"ko00620,ko00640,ko00650,ko01100,ko01120,map00620,map00640,map00650,map01100,map01120"	-	"R00212,R06987"	"RC00004,RC01181,RC02742,RC02833"	"ko00000,ko00001,ko01000"	-	"Gly_radical,PFL-like"
CAJ67971.1	8.86E-213	C	4Fe-4S single cluster domain	ko:K04069	-	-	R04710	-	"ko00000,ko01000"	-	"Fer4,Fer4_12,Radical_SAM"
CAJ67972.1	2.48E-129	K	Cupin domain	-	-	-	-	-	-	-	"Cupin_2,HTH_3"
CAJ67973.1	3.91E-211	S	Calcineurin-like phosphoesterase superfamily domain	ko:K07098	-	-	-	-	ko00000	-	Metallophos
CAJ67976.1	1.21E-209	C	Putative TM nitroreductase	-	-	-	-	-	-	-	TM1586_NiRdase
CAJ67977.1	7.32E-215	K	"Bacterial transcription activator, effector binding domain"	ko:K13653	-	-	-	-	"ko00000,ko03000"	-	"Cass2,GyrI-like,HTH_18"
CAJ67978.1	1.23E-35	K	Helix-turn-helix XRE-family like proteins	ko:K07729	-	-	-	-	"ko00000,ko03000"	-	HTH_3
CAJ67979.1	3.60E-91	-	-	-	-	-	-	-	-	-	DcuC
CAJ67980.1	0	L	"In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity"	ko:K02335	"ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03440"	-	"R00375,R00376,R00377,R00378"	RC02795	"ko00000,ko00001,ko01000,ko03032,ko03400"	-	"5_3_exonuc,5_3_exonuc_N,DNA_pol_A,DNA_pol_A_exo1"
CAJ67981.1	5.09E-135	H	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A	ko:K00859	"ko00770,ko01100,map00770,map01100"	M00120	R00130	"RC00002,RC00078"	"ko00000,ko00001,ko00002,ko01000"	-	CoaE
CAJ67982.1	8.98E-128	M	Transglycosylase SLT domain protein	ko:K08309	-	-	-	-	"ko00000,ko01000,ko01011"	-	SLT
CAJ67983.1	0	E	"Bacterial extracellular solute-binding proteins, family 5 Middle"	ko:K02035	"ko02024,map02024"	M00239	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.5	SBP_bac_5
CAJ67984.1	5.79E-43	P	Heavy-metal-associated domain	-	-	-	-	-	-	-	HMA
CAJ67985.1	1.07E-131	-	-	-	-	-	-	-	-	-	-
CAJ67986.1	4.92E-91	E	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	ko:K01759	"ko00620,map00620"	-	R02530	"RC00004,RC00740"	"ko00000,ko00001,ko01000"	-	Glyoxalase
CAJ67987.1	2.17E-286	MT	NlpC/P60 family	-	-	-	-	-	-	-	"NLPC_P60,SH3_3"
CAJ67988.1	9.96E-217	-	-	-	-	-	-	-	-	-	-
CAJ67989.1	3.81e-310	C	Part of a membrane complex involved in electron transport	ko:K03615	-	-	-	-	ko00000	-	"Complex1_51K,Fer4_10,RnfC_N,SLBB"
CAJ67990.1	1.05E-228	C	Part of a membrane complex involved in electron transport	ko:K03614	-	-	-	-	ko00000	-	NQR2_RnfD_RnfE
CAJ67991.1	1.35E-120	C	Part of a membrane complex involved in electron transport	ko:K03612	-	-	-	-	ko00000	-	FMN_bind
CAJ67992.1	1.25E-129	C	Part of a membrane complex involved in electron transport	ko:K03613	-	-	-	-	ko00000	-	Rnf-Nqr
CAJ67993.1	2.30E-113	C	Part of a membrane complex involved in electron transport	ko:K03617	-	-	-	-	ko00000	-	Rnf-Nqr
CAJ67994.1	6.09E-196	C	Electron transport complex	ko:K03616	-	-	-	-	ko00000	-	"FeS,Fer4,Fer4_13,Fer4_4,Fer4_9"
CAJ67996.1	1.86E-134	D	Maf-like protein	ko:K06287	-	-	-	-	ko00000	-	Maf
CAJ67997.1	1.88E-161	E	Belongs to the UPF0758 family	ko:K03630	-	-	-	-	ko00000	-	RadC
CAJ67998.1	4.36E-242	D	"Cell shape determining protein, MreB Mrl family"	ko:K03569	-	-	-	-	"ko00000,ko02048,ko03036,ko04812"	"1.A.33.1,9.B.157.1"	MreB_Mbl
CAJ67999.1	4.28E-199	M	Involved in formation and maintenance of cell shape	ko:K03570	-	-	-	-	"ko00000,ko03036"	9.B.157.1	MreC
CAJ68000.1	3.07E-97	M	Rod shape-determining protein MreD	ko:K03571	-	-	-	-	"ko00000,ko03036"	9.B.157.1	MreD
CAJ68001.1	0	M	"Penicillin-binding protein, transpeptidase domain protein"	ko:K05515	"ko00550,ko01501,map00550,map01501"	-	-	-	"ko00000,ko00001,ko01000,ko01011"	-	"PBP_dimer,Transpeptidase"
CAJ68002.1	1.18E-112	D	Cell division inhibitor that blocks the formation of polar Z ring septums. Rapidly oscillates between the poles of the cell to destabilize FtsZ filaments that have formed before they mature into polar Z rings. Prevents FtsZ polymerization	ko:K03610	-	-	-	-	"ko00000,ko03036,ko04812"	-	MinC_C
CAJ68003.1	1.01E-180	D	Cellulose biosynthesis protein BcsQ	ko:K03609	-	-	-	-	"ko00000,ko03036,ko04812"	-	"AAA_31,CbiA"
CAJ68004.1	1.10E-60	D	Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell	ko:K03608	-	-	-	-	"ko00000,ko03036,ko04812"	-	MinE
CAJ68005.1	1.01E-238	D	Belongs to the SEDS family	ko:K05837	-	-	-	-	"ko00000,ko03036"	-	FTSW_RODA_SPOVE
CAJ68006.1	1.46E-92	G	MGS-like domain	ko:K01734	"ko00640,ko01120,map00640,map01120"	-	R01016	RC00424	"ko00000,ko00001,ko01000"	-	MGS
CAJ68007.1	1.19E-71	K	Transcriptional regulator PadR-like family	-	-	-	-	-	-	-	PadR
CAJ68008.1	2.30E-185	-	-	-	-	-	-	-	-	-	-
CAJ68009.1	1.64E-261	D	"protein involved in cytokinesis, contains TGc (transglutaminase protease-like) domain"	-	-	-	-	-	-	-	"CW_binding_1,Transglut_core"
CAJ68010.1	4.98E-293	C	Metallo-beta-lactamase superfamily	ko:K22405	-	-	-	-	"ko00000,ko01000"	-	"Flavodoxin_1,Lactamase_B"
CAJ68011.1	0	C	Radical SAM domain protein	-	-	-	-	-	-	-	Radical_SAM
CAJ68012.1	1.09E-159	S	Radical SAM-linked protein	-	-	-	-	-	-	-	DUF2344
CAJ68013.1	0	J	S1 RNA binding domain protein	ko:K08301	-	-	-	-	"ko00000,ko01000,ko03009,ko03019"	-	"RNase_E_G,S1,TRAM"
CAJ68014.1	1.13E-64	J	This protein binds to 23S rRNA in the presence of protein L20	ko:K02888	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L21p
CAJ68015.1	2.09E-70	J	Pfam:Peptidase_C108	ko:K07584	-	-	-	-	ko00000	-	Peptidase_Prp
CAJ68016.1	3.65E-60	J	Belongs to the bacterial ribosomal protein bL27 family	ko:K02899	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L27
CAJ68017.1	1.16E-303	S	"An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control"	ko:K03979	-	-	-	-	"ko00000,ko01000,ko03009"	-	"DUF1967,GTP1_OBG,MMR_HSR1"
CAJ68018.1	1.26E-79	J	"RNA-binding protein, YhbY family"	ko:K07574	-	-	-	-	"ko00000,ko03009"	-	CRS1_YhbY
CAJ68019.1	1.58E-282	E	homoserine dehydrogenase	ko:K00003	"ko00260,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00270,map00300,map01100,map01110,map01120,map01130,map01230"	"M00017,M00018"	"R01773,R01775"	RC00087	"ko00000,ko00001,ko00002,ko01000"	-	"Homoserine_dh,NAD_binding_3"
CAJ68020.1	1.80E-130	L	Phage integrase family	-	-	-	-	-	-	-	Phage_integrase
CAJ68021.1	4.72E-284	S	Sporulation integral membrane protein YlbJ	-	-	-	-	-	-	-	Gate
CAJ68022.1	7.05E-158	K	FCD	ko:K05799	-	-	-	-	"ko00000,ko03000"	-	"FCD,GntR"
CAJ68023.1	4.57E-305	S	"Psort location Cytoplasmic, score 8.87"	ko:K22373	"ko00620,map00620"	-	R01450	RC00519	"ko00000,ko00001,ko01000"	-	DUF2088
CAJ68024.1	1.69E-188	C	Electron transfer flavoprotein domain	ko:K03521	-	-	-	-	ko00000	-	ETF
CAJ68025.1	2.37E-291	C	electron transfer flavoprotein	"ko:K03522,ko:K22432"	-	-	-	-	"ko00000,ko01000,ko04147"	-	"ETF,ETF_alpha"
CAJ68026.1	0	C	"FAD linked oxidases, C-terminal domain"	ko:K00104	"ko00630,ko01100,ko01110,ko01120,ko01130,map00630,map01100,map01110,map01120,map01130"	-	R00475	RC00042	"ko00000,ko00001,ko01000"	-	"FAD-oxidase_C,FAD_binding_4"
CAJ68027.1	0.00E+00	S	Belongs to the UPF0348 family	-	-	-	-	-	-	-	HIGH_NTase1
CAJ68028.1	1.42E-288	F	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction	ko:K00925	"ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200"	"M00357,M00579"	"R00315,R01353"	"RC00002,RC00043"	"ko00000,ko00001,ko00002,ko01000"	-	Acetate_kinase
CAJ68029.1	1.15E-125	S	"Uncharacterized ACR, COG1399"	ko:K07040	-	-	-	-	ko00000	-	DUF177
CAJ68030.1	1.12E-37	J	Belongs to the bacterial ribosomal protein bL32 family	ko:K02911	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011,ko03029"	-	Ribosomal_L32p
CAJ68031.1	5.79E-120	K	DeoR-like helix-turn-helix domain	-	-	-	-	-	-	-	"4HBT,HTH_DeoR"
CAJ68032.1	1.15E-235	I	"Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA"	ko:K03621	"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110"	M00089	"R00851,R09380"	"RC00004,RC00039,RC00041"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	FA_synthesis
CAJ68033.1	1.69E-231	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids	ko:K00648	"ko00061,ko01100,ko01212,map00061,map01100,map01212"	"M00082,M00083"	R10707	"RC00004,RC02729,RC02888"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	"ACP_syn_III,ACP_syn_III_C"
CAJ68034.1	1.25E-212	S	enoyl- acyl-carrier-protein reductase II	ko:K02371	"ko00061,ko01100,ko01212,map00061,map01100,map01212"	M00083	"R04429,R04724,R04955,R04958,R04961,R04966,R04969,R07765"	"RC00052,RC00076"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	NMO
CAJ68035.1	6.28E-221	I	malonyl CoA-acyl carrier protein transacylase	ko:K00645	"ko00061,ko00333,ko01100,ko01130,ko01212,map00061,map00333,map01100,map01130,map01212"	M00082	"R01626,R11671"	"RC00004,RC00039,RC02727"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	Acyl_transf_1
CAJ68036.1	2.38E-171	IQ	3-oxoacyl- acyl-carrier-protein reductase	ko:K00059	"ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212"	"M00083,M00572"	"R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671"	"RC00029,RC00117"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	adh_short_C2
CAJ68037.1	4.45E-42	IQ	Carrier of the growing fatty acid chain in fatty acid biosynthesis	ko:K02078	-	-	-	-	"ko00000,ko00001"	-	PP-binding
CAJ68038.1	1.57E-299	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP	ko:K09458	"ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212"	"M00083,M00572"	"R04355,R04726,R04952,R04957,R04960,R04963,R04968,R07762,R10115,R10119"	"RC00039,RC02728,RC02729,RC02888"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	"Ketoacyl-synt_C,ketoacyl-synt"
CAJ68039.1	0	T	diguanylate cyclase	-	-	-	-	-	-	-	GGDEF
CAJ68040.1	0	KT	Sigma-54 interaction domain	"ko:K02688,ko:K06714"	-	-	-	-	"ko00000,ko03000"	-	"HTH_8,PAS_9,PrpR_N,Sigma54_activat"
CAJ68041.1	1.69E-54	S	"Psort location Cytoplasmic, score"	-	-	-	-	-	-	-	TSCPD
CAJ68042.1	5.68E-175	S	"Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology"	ko:K07010	-	-	-	-	"ko00000,ko01002"	-	Peptidase_C26
CAJ68043.1	1.37E-306	E	amino acid	-	-	-	-	-	-	-	"AA_permease_2,Usp"
CAJ68044.1	1.69E-125	M	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	"Acetyltransf_1,Acetyltransf_4"
CAJ68045.1	0	G	"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 3"	ko:K04041	"ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200"	"M00003,M00165,M00167"	"R00762,R04780"	RC00017	"ko00000,ko00001,ko00002,ko01000"	-	FBPase_2
CAJ68046.1	1.44E-229	S	ATPases associated with a variety of cellular activities	ko:K06390	-	-	-	-	ko00000	-	T2SSE
CAJ68047.1	6.15E-116	S	Stage III sporulation protein AB (spore_III_AB)	ko:K06391	-	-	-	-	ko00000	-	Spore_III_AB
CAJ68048.2	3.54E-35	S	Stage III sporulation protein AC/AD protein family	ko:K06392	-	-	-	-	ko00000	-	SpoIIIAC
CAJ68049.1	2.69E-77	S	Stage III sporulation protein AC/AD protein family	ko:K06393	-	-	-	-	ko00000	-	SpoIIIAC
CAJ68050.1	1.55E-258	S	Stage III sporulation protein AE (spore_III_AE)	ko:K06394	-	-	-	-	ko00000	-	Spore_III_AE
CAJ68051.1	3.72E-119	S	Stage III sporulation protein AF (Spore_III_AF)	ko:K06395	-	-	-	-	ko00000	-	Spore_III_AF
CAJ68052.1	8.53E-117	S	Stage III sporulation protein AG	ko:K06396	-	-	-	-	ko00000	-	-
CAJ68053.1	5.49E-142	S	SpoIIIAH-like protein	ko:K06397	-	-	-	-	ko00000	1.A.34.1.1	SpoIIIAH
CAJ68054.1	1.74E-76	S	"Asp23 family, cell envelope-related function"	-	-	-	-	-	-	-	Asp23
CAJ68055.1	3.20E-116	K	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons	ko:K03625	-	-	-	-	"ko00000,ko03009,ko03021"	-	NusB
CAJ68056.1	2.70E-258	O	"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction"	ko:K01409	-	-	R10648	"RC00070,RC00416"	"ko00000,ko01000,ko03016"	-	Peptidase_M22
CAJ68057.1	6.26E-289	L	"Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides"	ko:K03601	"ko03430,map03430"	-	-	-	"ko00000,ko00001,ko01000,ko03400"	-	"Exonuc_VII_L,tRNA_anti_2"
CAJ68058.1	2.11E-32	L	"Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides"	ko:K03602	"ko03430,map03430"	-	-	-	"ko00000,ko00001,ko01000,ko03400"	-	Exonuc_VII_S
CAJ68059.1	3.89E-209	H	Belongs to the FPP GGPP synthase family	ko:K13789	"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130"	"M00364,M00366"	"R01658,R02003,R02061"	RC00279	"ko00000,ko00001,ko00002,ko01000,ko01006"	-	polyprenyl_synt
CAJ68060.1	9.65E-95	S	Divergent PAP2 family	ko:K09775	-	-	-	-	ko00000	-	DUF212
CAJ68061.1	0	H	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)	ko:K01662	"ko00730,ko00900,ko01100,ko01110,ko01130,map00730,map00900,map01100,map01110,map01130"	M00096	R05636	RC00032	"ko00000,ko00001,ko00002,ko01000"	-	"DXP_synthase_N,Transket_pyr,Transketolase_C"
CAJ68062.1	4.88E-195	J	Ribosomal RNA large subunit methyltransferase J	ko:K06442	-	-	-	-	"ko00000,ko01000,ko03009"	-	"FtsJ,S4"
CAJ68063.1	0	L	May be involved in recombinational repair of damaged DNA	ko:K03631	-	-	-	-	"ko00000,ko03400"	-	"AAA_23,SMC_N"
CAJ68065.1	3.97E-112	K	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	Acetyltransf_1
CAJ68066.1	3.11E-105	K	Acetyltransferase (GNAT) domain	ko:K00657	"ko00330,ko01100,ko04216,map00330,map01100,map04216"	M00135	R01154	"RC00004,RC00096"	"ko00000,ko00001,ko00002,ko01000"	-	Acetyltransf_1
CAJ68067.1	5.83E-251	M	SpoIVB peptidase S55	ko:K06399	-	-	-	-	"ko00000,ko01000,ko01002"	-	"PDZ_2,Peptidase_S55"
CAJ68068.1	1.34E-194	KT	May play the central regulatory role in sporulation. It may be an element of the effector pathway responsible for the activation of sporulation genes in response to nutritional stress. Spo0A may act in concert with spo0H (a sigma factor) to control the expression of some genes that are critical to the sporulation process	ko:K07699	"ko02020,ko02024,map02020,map02024"	M00485	-	-	"ko00000,ko00001,ko00002,ko02022"	-	"Response_reg,Spo0A_C"
CAJ68069.1	2.14E-259	S	Thiamine pyrophosphokinase C terminal	-	-	-	-	-	-	-	"MAF_flag10,TPPK_C"
CAJ68070.1	2.31E-199	S	"Copper transport outer membrane protein, MctB"	-	-	-	-	-	-	-	MctB
CAJ68071.1	2.13E-160	M	"Glycosyltransferase, group 2 family protein"	-	-	-	-	-	-	-	Glycos_transf_2
CAJ68072.1	5.16E-183	M	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan	-	-	-	-	-	-	-	Glycos_transf_4
CAJ68073.1	3.13E-252	S	Protein of unknown function (DUF3866)	-	-	-	-	-	-	-	DUF3866
CAJ68074.1	1.97E-119	L	NUDIX domain	ko:K01515	"ko00230,map00230"	-	R01054	RC00002	"ko00000,ko00001,ko01000"	-	NUDIX
CAJ68075.1	2.11E-123	-	-	ko:K06384	-	-	-	-	ko00000	-	SpoIIM
CAJ68076.1	1.04E-213	L	Belongs to the 'phage' integrase family	ko:K04763	-	-	-	-	"ko00000,ko03036"	-	"Phage_int_SAM_1,Phage_integrase"
CAJ68077.1	1.37E-291	G	Phosphotransfer between the C1 and C5 carbon atoms of pentose	ko:K01839	"ko00030,ko00230,map00030,map00230"	-	"R01057,R02749"	RC00408	"ko00000,ko00001,ko01000"	-	Metalloenzyme
CAJ68078.1	3.16E-191	F	"The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate"	ko:K03783	"ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110"	-	"R01561,R01863,R01969,R02147,R02294,R02295,R02297,R02484,R02557,R02748,R08368,R10244"	"RC00033,RC00063,RC00122"	"ko00000,ko00001,ko01000"	-	PNP_UDP_1
CAJ68079.1	2.6e-313	F	pyrimidine-nucleoside phosphorylase	"ko:K00756,ko:K00758"	"ko00240,ko00983,ko01100,ko05219,map00240,map00983,map01100,map05219"	-	"R01570,R01876,R02296,R02484,R08222,R08230"	RC00063	"ko00000,ko00001,ko01000"	-	"Glycos_trans_3N,Glycos_transf_3,PYNP_C"
CAJ68080.1	1.15E-240	S	Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation	ko:K07082	-	-	-	-	ko00000	-	YceG
CAJ68081.1	4.31E-157	S	O-methyltransferase	-	-	-	-	-	-	-	Methyltransf_3
CAJ68082.1	1.59E-305	O	"Peptidase, U32 family"	ko:K08303	"ko05120,map05120"	-	-	-	"ko00000,ko00001,ko01000,ko01002"	-	"Peptidase_U32,Peptidase_U32_C"
CAJ68083.1	0	M	Penicillin binding protein transpeptidase domain	ko:K05515	"ko00550,ko01501,map00550,map01501"	-	-	-	"ko00000,ko00001,ko01000,ko01011"	-	"PBP_dimer,Transpeptidase"
CAJ68084.3	1.38E-146	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	ko:K03091	-	-	-	-	"ko00000,ko03021"	-	"Sigma70_r2,Sigma70_r4"
CAJ68085.1	0	L	resolvase	-	-	-	-	-	-	-	"DUF4368,Recombinase,Resolvase,Zn_ribbon_recom"
CAJ68086.1	6.07E-186	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-
CAJ68087.1	0	M	cell wall organization	"ko:K01448,ko:K20276"	"ko01503,ko02024,map01503,map02024"	M00727	R04112	"RC00064,RC00141"	"ko00000,ko00001,ko00002,ko01000,ko01011,ko03036"	-	CW_binding_2
CAJ68092.2	5.64E-227	S	DHHA1 domain protein	ko:K06881	"ko00920,ko01100,ko01120,map00920,map01100,map01120"	-	"R00188,R00508"	RC00078	"ko00000,ko00001,ko01000,ko03400"	-	"DHH,DHHA1"
CAJ68094.1	3.14E-90	K	PFAM Penicillinase repressor	-	-	-	-	-	-	-	Penicillinase_R
